File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A3GF_006_ET_500m_doy2010001_aid0001,ET_500m,aid0001,2010-01-01,9154,544.4,1573.9,"(544.4,1573.9)",836.7672384,116.6456355,13606.2042784,892.275,1069.5,833.65,596.6,774.0
MOD16A3GF_006_ET_500m_doy2011001_aid0001,ET_500m,aid0001,2011-01-01,9154,535.6,1625.6,"(535.6,1625.6)",833.8419707,124.9946374,15623.6593768,891.3,1086.3,826.3,566.1,761.2
MOD16A3GF_006_ET_500m_doy2012001_aid0001,ET_500m,aid0001,2012-01-01,9154,435.3,1519.9,"(435.3,1519.9)",798.8603343,127.5429394,16267.2013925,867.4,1076.2,800.5,517.9,727.425
MOD16A3GF_006_ET_500m_doy2013001_aid0001,ET_500m,aid0001,2013-01-01,9154,603.7,1608.9,"(603.7,1608.9)",912.9629452,118.2960795,13993.9624133,977.7,1172.4,912.85,653.0,847.6
MOD16A3GF_006_ET_500m_doy2014001_aid0001,ET_500m,aid0001,2014-01-01,9154,489.7,1405.6,"(489.7,1405.6)",793.3992135,110.3059821,12167.4096782,855.475,1042.6,796.0,543.6,730.6
MOD16A3GF_006_ET_500m_doy2015001_aid0001,ET_500m,aid0001,2015-01-01,9154,627.1,1607.9,"(627.1,1607.9)",973.5217282,128.7429386,16574.7442286,1046.5,1266.8,973.25,680.6,899.6
MOD16A3GF_006_ET_500m_doy2010001_aid0002,ET_500m,aid0002,2010-01-01,6523,535.3,1358.1,"(535.3,1358.1)",832.6277786,110.7472443,12264.9521243,891.9,1068.7,828.5,597.7,773.85
MOD16A3GF_006_ET_500m_doy2011001_aid0002,ET_500m,aid0002,2011-01-01,6523,528.2,1495.0,"(528.2,1495.0)",848.6177372,125.2450577,15686.3244669,908.6,1103.8,838.5,583.7,778.45
MOD16A3GF_006_ET_500m_doy2012001_aid0002,ET_500m,aid0002,2012-01-01,6523,453.4,1431.2,"(453.4,1431.2)",832.0892381,123.8199808,15331.3876413,892.6,1071.4,831.4,593.3,772.85
MOD16A3GF_006_ET_500m_doy2013001_aid0002,ET_500m,aid0002,2013-01-01,6523,601.2,1496.6,"(601.2,1496.6)",934.737958,124.2268321,15432.3058013,1001.5,1204.8,929.7,662.5,865.85
MOD16A3GF_006_ET_500m_doy2014001_aid0002,ET_500m,aid0002,2014-01-01,6523,492.5,1342.7,"(492.5,1342.7)",837.1860494,123.4477247,15239.3407221,908.95,1122.8,828.2,551.8,766.05
MOD16A3GF_006_ET_500m_doy2015001_aid0002,ET_500m,aid0002,2015-01-01,6523,617.9,1609.4,"(617.9,1609.4)",977.9099187,128.749166,16576.3477584,1050.25,1264.7,977.7,692.8,906.95
MOD16A3GF_006_ET_500m_doy2010001_aid0003,ET_500m,aid0003,2010-01-01,13993,0.0,1326.1,"(0.0,1326.1)",800.312199,111.7241574,12482.2873385,864.2,1053.3,799.3,549.1,738.1
MOD16A3GF_006_ET_500m_doy2011001_aid0003,ET_500m,aid0003,2011-01-01,13993,0.0,1494.5,"(0.0,1494.5)",850.22572,133.2543813,17756.7301375,920.7,1137.6,843.5,559.6,776.1
