File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A3GF_006_ET_500m_doy2015001_aid0001,ET_500m,aid0001,2015-01-01,1827,592.4,1763.9,"(592.4,1763.9)",1148.7266557,272.3921582,74197.4878226,1422.45,1763.9,1170.3,592.4,863.3
MOD16A3GF_006_ET_500m_doy2016001_aid0001,ET_500m,aid0001,2016-01-01,1827,509.2,1608.5,"(509.2,1608.5)",1150.3151615,299.4110289,89646.9642091,1476.0,1608.5,1121.1,509.2,861.25
MOD16A3GF_006_ET_500m_doy2017001_aid0001,ET_500m,aid0001,2017-01-01,1827,417.2,1609.7,"(417.2,1609.7)",1153.6590586,331.6421931,109986.5442351,1513.85,1609.7,1145.9,417.2,818.7
MOD16A3GF_006_ET_500m_doy2018001_aid0001,ET_500m,aid0001,2018-01-01,1827,589.0,1696.2,"(589.0,1696.2)",1161.4716475,272.1520771,74066.753044,1438.45,1696.2,1165.5,589.0,874.9
MOD16A3GF_006_ET_500m_doy2019001_aid0001,ET_500m,aid0001,2019-01-01,1827,449.7,1594.1,"(449.7,1594.1)",1117.7104543,330.5111875,109237.6450741,1480.0,1594.1,1101.2,449.7,782.95
MOD16A3GF_006_ET_500m_doy2020001_aid0001,ET_500m,aid0001,2020-01-01,1827,350.1,1622.6,"(350.1,1622.6)",1142.8599343,368.8952056,136083.6727461,1558.25,1622.6,1094.0,350.1,801.4
MOD16A3GF_006_ET_500m_doy2015001_aid0002,ET_500m,aid0002,2015-01-01,1233,0.0,1627.5,"(0.0,1627.5)",908.463747,166.7288039,27798.4940547,925.2,1092.1,859.2,661.7,812.1
MOD16A3GF_006_ET_500m_doy2016001_aid0002,ET_500m,aid0002,2016-01-01,1233,0.0,1608.5,"(0.0,1608.5)",894.1048662,160.0090496,25602.8959536,896.3,1022.2,850.8,686.4,812.0
MOD16A3GF_006_ET_500m_doy2017001_aid0002,ET_500m,aid0002,2017-01-01,1233,0.0,1576.5,"(0.0,1576.5)",884.3980535,178.7173928,31939.9065007,895.7,1058.2,829.7,629.8,786.7
MOD16A3GF_006_ET_500m_doy2018001_aid0002,ET_500m,aid0002,2018-01-01,1233,0.0,1696.2,"(0.0,1696.2)",936.5682887,162.7979278,26503.1652961,932.0,1046.7,887.1,737.4,853.6
MOD16A3GF_006_ET_500m_doy2019001_aid0002,ET_500m,aid0002,2019-01-01,1233,0.0,1657.8,"(0.0,1657.8)",834.5286294,177.8459739,31629.1904456,827.1,951.6,775.7,620.7,741.5
MOD16A3GF_006_ET_500m_doy2020001_aid0002,ET_500m,aid0002,2020-01-01,1233,0.0,1675.7,"(0.0,1675.7)",845.6527981,176.5595272,31173.2666609,857.3,1010.1,803.9,601.8,754.0
MOD16A3GF_006_ET_500m_doy2015001_aid0003,ET_500m,aid0003,2015-01-01,902,641.1,1579.6,"(641.1,1579.6)",877.6614191,132.2197564,17482.0639882,888.225,1012.4,839.05,681.7,803.0
MOD16A3GF_006_ET_500m_doy2016001_aid0003,ET_500m,aid0003,2016-01-01,902,621.1,1506.1,"(621.1,1506.1)",881.3638581,129.3454753,16730.2519754,908.85,1055.2,844.75,661.0,806.125
MOD16A3GF_006_ET_500m_doy2017001_aid0003,ET_500m,aid0003,2017-01-01,902,516.7,1464.2,"(516.7,1464.2)",777.1245011,144.534095,20890.1046214,784.825,911.6,733.55,571.4,697.025
MOD16A3GF_006_ET_500m_doy2018001_aid0003,ET_500m,aid0003,2018-01-01,902,639.4,1539.0,"(639.4,1539.0)",905.6310421,142.471405,20298.1012315,923.55,1065.2,861.2,708.6,823.9
