File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A3GF_006_ET_500m_doy2015001_aid0188,ET_500m,aid0188,2015-01-01,14655,315.2,1838.1,"(315.2,1838.1)",698.8372637,145.8377101,21268.6376964,771.1,1015.9,687.4,371.9,607.85
MOD16A3GF_006_ET_500m_doy2016001_aid0188,ET_500m,aid0188,2016-01-01,14655,379.9,2052.0,"(379.9,2052.0)",783.4868646,157.3159366,24748.3039005,872.6,1160.4,775.2,392.0,680.3
MOD16A3GF_006_ET_500m_doy2017001_aid0188,ET_500m,aid0188,2017-01-01,14655,356.4,1789.9,"(356.4,1789.9)",723.4436506,141.4106427,19996.9698797,799.1,1047.3,715.7,387.1,633.1
MOD16A3GF_006_ET_500m_doy2018001_aid0188,ET_500m,aid0188,2018-01-01,14655,449.6,1834.6,"(449.6,1834.6)",823.1410304,143.9416368,20719.1948167,899.8,1151.6,811.5,481.0,731.8
MOD16A3GF_006_ET_500m_doy2019001_aid0188,ET_500m,aid0188,2019-01-01,14655,422.9,1856.3,"(422.9,1856.3)",796.9487547,151.7292652,23021.7699034,875.2,1134.7,783.9,444.0,702.2
MOD16A3GF_006_ET_500m_doy2020001_aid0188,ET_500m,aid0188,2020-01-01,14655,598.7,1875.4,"(598.7,1875.4)",969.7079836,144.4946878,20878.7147899,1051.1,1313.8,959.4,614.0,875.9
MOD16A3GF_006_ET_500m_doy2015001_aid0189,ET_500m,aid0189,2015-01-01,998,704.7,1527.1,"(704.7,1527.1)",1111.2128257,100.2200638,10044.0611782,1167.125,1345.5,1107.2,897.0,1045.575
MOD16A3GF_006_ET_500m_doy2016001_aid0189,ET_500m,aid0189,2016-01-01,998,708.8,1407.8,"(708.8,1407.8)",1082.1498998,94.7470173,8976.9972896,1139.525,1321.0,1079.35,848.3,1015.775
MOD16A3GF_006_ET_500m_doy2017001_aid0189,ET_500m,aid0189,2017-01-01,998,670.3,1364.9,"(670.3,1364.9)",1004.5210421,91.9306745,8451.2489159,1056.15,1224.6,997.7,778.4,941.375
MOD16A3GF_006_ET_500m_doy2018001_aid0189,ET_500m,aid0189,2018-01-01,998,734.2,1362.2,"(734.2,1362.2)",1048.6634269,82.2659809,6767.6916183,1097.6,1247.2,1045.3,851.0,997.775
MOD16A3GF_006_ET_500m_doy2019001_aid0189,ET_500m,aid0189,2019-01-01,998,711.1,1379.4,"(711.1,1379.4)",1086.7579158,90.1980137,8135.6816758,1144.425,1320.2,1080.15,852.1,1026.0
MOD16A3GF_006_ET_500m_doy2020001_aid0189,ET_500m,aid0189,2020-01-01,998,651.5,1308.1,"(651.5,1308.1)",963.9633267,81.0095886,6562.5534446,1008.4,1151.5,956.95,785.8,912.0
MOD16A3GF_006_ET_500m_doy2015001_aid0190,ET_500m,aid0190,2015-01-01,2223,658.2,1832.7,"(658.2,1832.7)",1153.5722447,147.0642449,21627.8921356,1224.15,1464.8,1132.6,823.9,1062.65
MOD16A3GF_006_ET_500m_doy2016001_aid0190,ET_500m,aid0190,2016-01-01,2223,673.4,1794.7,"(673.4,1794.7)",1123.6864148,129.7499404,16835.0470219,1179.95,1378.8,1107.5,849.6,1047.05
MOD16A3GF_006_ET_500m_doy2017001_aid0190,ET_500m,aid0190,2017-01-01,2223,592.0,1708.1,"(592.0,1708.1)",994.9162393,135.1491171,18265.2838523,1055.2,1274.6,974.2,702.1,907.8
MOD16A3GF_006_ET_500m_doy2018001_aid0190,ET_500m,aid0190,2018-01-01,2223,766.6,1740.7,"(766.6,1740.7)",1185.9189384,120.9149929,14620.4354983,1240.05,1422.3,1174.1,936.1,1117.45
MOD16A3GF_006_ET_500m_doy2019001_aid0190,ET_500m,aid0190,2019-01-01,2223,684.6,2058.6,"(684.6,2058.6)",1145.0789024,142.3220131,20255.5554208,1204.55,1419.0,1127.5,847.9,1061.4
MOD16A3GF_006_ET_500m_doy2020001_aid0190,ET_500m,aid0190,2020-01-01,2223,692.3,1800.7,"(692.3,1800.7)",1120.4582096,124.9722839,15618.0717353,1183.8,1392.1,1110.2,834.4,1043.5
MOD16A3GF_006_ET_500m_doy2015001_aid0191,ET_500m,aid0191,2015-01-01,2762,716.2,1659.3,"(716.2,1659.3)",1135.2856264,121.2904834,14711.3813611,1201.0,1415.9,1120.4,841.2,1056.95
MOD16A3GF_006_ET_500m_doy2016001_aid0191,ET_500m,aid0191,2016-01-01,2762,694.8,1629.6,"(694.8,1629.6)",1100.8211441,120.6199247,14549.1662437,1170.5,1398.1,1084.95,805.6,1016.5
MOD16A3GF_006_ET_500m_doy2017001_aid0191,ET_500m,aid0191,2017-01-01,2762,673.9,1519.5,"(673.9,1519.5)",1025.5849022,102.3507053,10475.666872,1079.775,1263.7,1013.15,779.2,956.35
MOD16A3GF_006_ET_500m_doy2018001_aid0191,ET_500m,aid0191,2018-01-01,2762,667.6,1461.4,"(667.6,1461.4)",1052.6154598,94.8182716,8990.5046307,1107.9,1288.4,1045.95,806.5,987.225
MOD16A3GF_006_ET_500m_doy2019001_aid0191,ET_500m,aid0191,2019-01-01,2762,683.1,1504.8,"(683.1,1504.8)",1091.3562636,107.2040699,11492.7126056,1153.2,1358.6,1075.7,819.6,1015.9
MOD16A3GF_006_ET_500m_doy2020001_aid0191,ET_500m,aid0191,2020-01-01,2762,638.7,1519.0,"(638.7,1519.0)",1023.6806662,116.7387288,13627.930792,1090.7,1315.4,1007.95,730.8,940.9
MOD16A3GF_006_ET_500m_doy2015001_aid0192,ET_500m,aid0192,2015-01-01,1015,833.4,1588.2,"(833.4,1588.2)",1133.8335961,113.4646704,12874.2314329,1205.9,1417.0,1119.0,835.6,1057.65
MOD16A3GF_006_ET_500m_doy2016001_aid0192,ET_500m,aid0192,2016-01-01,1015,758.4,1461.4,"(758.4,1461.4)",1091.9659113,104.1554307,10848.3537542,1161.3,1371.4,1087.4,832.1,1015.15
MOD16A3GF_006_ET_500m_doy2017001_aid0192,ET_500m,aid0192,2017-01-01,1015,744.8,1290.8,"(744.8,1290.8)",1016.5640394,89.9296132,8087.3353275,1073.15,1255.8,1007.0,767.9,949.6
MOD16A3GF_006_ET_500m_doy2018001_aid0192,ET_500m,aid0192,2018-01-01,1015,806.8,1395.6,"(806.8,1395.6)",1073.3826601,81.8672234,6702.2422609,1127.2,1280.4,1063.8,887.1,1018.85
MOD16A3GF_006_ET_500m_doy2019001_aid0192,ET_500m,aid0192,2019-01-01,1015,866.4,1457.5,"(866.4,1457.5)",1087.5025616,91.739775,8416.1863186,1138.7,1302.8,1075.3,866.4,1024.95
MOD16A3GF_006_ET_500m_doy2020001_aid0192,ET_500m,aid0192,2020-01-01,1015,702.8,1438.8,"(702.8,1438.8)",1013.5484729,102.6072443,10528.2465765,1073.7,1260.0,1004.8,771.9,948.05
MOD16A3GF_006_ET_500m_doy2015001_aid0193,ET_500m,aid0193,2015-01-01,1962,820.8,1547.9,"(820.8,1547.9)",1146.2646279,102.167149,10438.1263329,1216.075,1412.8,1143.9,858.7,1073.125
MOD16A3GF_006_ET_500m_doy2016001_aid0193,ET_500m,aid0193,2016-01-01,1962,797.1,1590.2,"(797.1,1590.2)",1115.8537717,113.0800246,12787.0919557,1179.1,1386.1,1095.65,851.4,1039.025
MOD16A3GF_006_ET_500m_doy2017001_aid0193,ET_500m,aid0193,2017-01-01,1962,774.5,1444.2,"(774.5,1444.2)",1055.1560652,105.0321898,11031.7608934,1110.225,1299.2,1035.8,796.8,984.075
MOD16A3GF_006_ET_500m_doy2018001_aid0193,ET_500m,aid0193,2018-01-01,1962,801.4,1463.7,"(801.4,1463.7)",1070.1682977,92.0454825,8472.3708502,1128.325,1303.2,1058.55,826.1,1006.95
MOD16A3GF_006_ET_500m_doy2019001_aid0193,ET_500m,aid0193,2019-01-01,1962,819.1,1477.6,"(819.1,1477.6)",1124.8768603,101.4429037,10290.6627061,1182.475,1377.5,1105.5,859.3,1052.425
MOD16A3GF_006_ET_500m_doy2020001_aid0193,ET_500m,aid0193,2020-01-01,1962,745.9,1395.8,"(745.9,1395.8)",1034.4192661,122.9572744,15118.4913312,1094.8,1313.2,1014.4,745.9,948.9
MOD16A3GF_006_ET_500m_doy2015001_aid0194,ET_500m,aid0194,2015-01-01,3041,638.4,1899.7,"(638.4,1899.7)",983.6384413,157.6813428,24863.4058521,1055.0,1310.5,967.1,638.4,883.0
MOD16A3GF_006_ET_500m_doy2016001_aid0194,ET_500m,aid0194,2016-01-01,3041,656.6,1816.0,"(656.6,1816.0)",954.8985202,143.9202451,20713.0369495,1012.2,1234.4,930.7,656.6,863.7
MOD16A3GF_006_ET_500m_doy2017001_aid0194,ET_500m,aid0194,2017-01-01,3041,577.1,1563.2,"(577.1,1563.2)",874.8574153,145.5609181,21187.9808732,942.8,1181.8,858.1,577.1,781.6
MOD16A3GF_006_ET_500m_doy2018001_aid0194,ET_500m,aid0194,2018-01-01,3041,722.1,1840.5,"(722.1,1840.5)",1006.9969747,128.767651,16581.1079488,1060.8,1259.1,990.1,732.4,928.3
MOD16A3GF_006_ET_500m_doy2019001_aid0194,ET_500m,aid0194,2019-01-01,3041,649.6,1891.7,"(649.6,1891.7)",1029.6165077,166.3696432,27678.8581754,1105.7,1374.3,1011.8,661.9,925.9
MOD16A3GF_006_ET_500m_doy2020001_aid0194,ET_500m,aid0194,2020-01-01,3041,723.0,1879.4,"(723.0,1879.4)",1070.782999,156.9142752,24622.0897504,1134.8,1373.4,1048.9,739.1,973.6
MOD16A3GF_006_ET_500m_doy2015001_aid0195,ET_500m,aid0195,2015-01-01,2548,811.9,1550.4,"(811.9,1550.4)",1117.6443485,89.3192473,7977.9279312,1176.1,1348.5,1119.15,884.6,1058.925
MOD16A3GF_006_ET_500m_doy2016001_aid0195,ET_500m,aid0195,2016-01-01,2548,762.2,1539.3,"(762.2,1539.3)",1103.1795133,88.4160887,7817.4047373,1158.3,1326.5,1101.15,878.0,1046.075
MOD16A3GF_006_ET_500m_doy2017001_aid0195,ET_500m,aid0195,2017-01-01,2548,724.7,1360.5,"(724.7,1360.5)",990.7341837,78.1141637,6101.8225717,1032.9,1170.6,987.05,807.3,940.6
MOD16A3GF_006_ET_500m_doy2018001_aid0195,ET_500m,aid0195,2018-01-01,2548,840.1,1390.3,"(840.1,1390.3)",1096.1463893,79.6945556,6351.2221887,1145.375,1300.2,1090.5,886.4,1040.275
MOD16A3GF_006_ET_500m_doy2019001_aid0195,ET_500m,aid0195,2019-01-01,2548,819.2,1446.0,"(819.2,1446.0)",1085.6808085,85.8797984,7375.3397769,1136.825,1297.5,1083.85,869.1,1028.475
MOD16A3GF_006_ET_500m_doy2020001_aid0195,ET_500m,aid0195,2020-01-01,2548,736.0,1442.4,"(736.0,1442.4)",1023.0583595,89.8668706,8076.0544317,1077.3,1248.9,1018.5,792.9,962.775
