File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A3GF_006_ET_500m_doy2013001_aid0070,ET_500m,aid0070,2013-01-01,1571,629.2,2057.4,"(629.2,2057.4)",896.2561426,151.9853678,23099.5520231,949.55,1172.3,845.5,629.2,800.8
MOD16A3GF_006_ET_500m_doy2014001_aid0070,ET_500m,aid0070,2014-01-01,1571,658.5,2011.0,"(658.5,2011.0)",887.1816041,161.0790712,25946.4671918,954.2,1209.8,824.0,658.5,783.3
MOD16A3GF_006_ET_500m_doy2015001_aid0070,ET_500m,aid0070,2015-01-01,1571,702.5,1868.4,"(702.5,1868.4)",920.9364099,146.2493479,21388.8717488,993.55,1240.9,863.4,702.5,828.55
MOD16A3GF_006_ET_500m_doy2010001_aid0071,ET_500m,aid0071,2010-01-01,1515,697.9,1537.5,"(697.9,1537.5)",880.3874587,92.0962548,8481.7201463,888.4,951.4,863.8,775.7,842.25
MOD16A3GF_006_ET_500m_doy2011001_aid0071,ET_500m,aid0071,2011-01-01,1515,663.8,1576.1,"(663.8,1576.1)",951.6567657,107.4418044,11543.7413321,984.3,1122.5,934.1,766.1,891.4
MOD16A3GF_006_ET_500m_doy2012001_aid0071,ET_500m,aid0071,2012-01-01,1515,456.7,1498.4,"(456.7,1498.4)",810.6219802,110.74384,12264.1980977,831.6,937.6,794.3,650.8,758.8
MOD16A3GF_006_ET_500m_doy2013001_aid0071,ET_500m,aid0071,2013-01-01,1515,556.8,1750.4,"(556.8,1750.4)",895.9215182,102.7219176,10551.7923555,919.15,1030.5,882.3,735.3,844.05
MOD16A3GF_006_ET_500m_doy2014001_aid0071,ET_500m,aid0071,2014-01-01,1515,610.0,1564.0,"(610.0,1564.0)",860.8807261,109.2511713,11935.8184404,882.1,991.0,843.9,702.3,808.5
MOD16A3GF_006_ET_500m_doy2015001_aid0071,ET_500m,aid0071,2015-01-01,1515,700.5,1750.0,"(700.5,1750.0)",922.4093729,107.9653721,11656.5215623,943.25,1046.5,904.0,764.1,869.7
MOD16A3GF_006_ET_500m_doy2010001_aid0072,ET_500m,aid0072,2010-01-01,2642,728.7,1934.6,"(728.7,1934.6)",914.4479182,140.758046,19812.8275146,908.475,1009.7,869.35,741.7,840.8
MOD16A3GF_006_ET_500m_doy2011001_aid0072,ET_500m,aid0072,2011-01-01,2642,737.4,2014.0,"(737.4,2014.0)",963.6273278,156.4369062,24472.5056347,973.075,1120.5,912.25,737.4,874.3
MOD16A3GF_006_ET_500m_doy2012001_aid0072,ET_500m,aid0072,2012-01-01,2642,521.9,2095.5,"(521.9,2095.5)",817.8107494,167.5894659,28086.2290745,826.6,975.8,764.0,585.9,727.0
MOD16A3GF_006_ET_500m_doy2013001_aid0072,ET_500m,aid0072,2013-01-01,2642,631.9,1985.8,"(631.9,1985.8)",911.4772521,144.6148668,20913.4596983,920.6,1054.6,866.55,696.1,830.6
MOD16A3GF_006_ET_500m_doy2014001_aid0072,ET_500m,aid0072,2014-01-01,2642,666.7,2003.2,"(666.7,2003.2)",886.0233157,172.1667444,29641.3878894,899.2,1066.5,827.45,666.7,787.6
MOD16A3GF_006_ET_500m_doy2015001_aid0072,ET_500m,aid0072,2015-01-01,2642,725.6,1935.9,"(725.6,1935.9)",930.6406132,155.5273261,24188.7491492,929.5,1057.5,879.3,725.6,843.9
