File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A3GF_006_ET_500m_doy2014001_aid0540,ET_500m,aid0540,2014-01-01,649.0,499.6,1586.0,"(499.6,1586.0)",1160.4343606,243.0946489,59095.0083263,1344.0,1586.0,1271.4,499.6,981.4
MOD16A3GF_006_ET_500m_doy2015001_aid0540,ET_500m,aid0540,2015-01-01,649.0,606.0,1646.8,"(606.0,1646.8)",1222.1514638,188.1523932,35401.3230834,1351.5,1646.8,1299.3,857.3,1150.6
MOD16A3GF_006_ET_500m_doy2010001_aid0541,ET_500m,aid0541,2010-01-01,832.0,823.9,1695.5,"(823.9,1695.5)",1273.6114183,122.4822402,15001.8991605,1336.0,1442.1,1309.1,1141.2,1257.3
MOD16A3GF_006_ET_500m_doy2011001_aid0541,ET_500m,aid0541,2011-01-01,832.0,876.2,1681.2,"(876.2,1681.2)",1286.4566106,113.3320502,12844.1536101,1346.3,1462.4,1313.15,1138.7,1262.8
MOD16A3GF_006_ET_500m_doy2012001_aid0541,ET_500m,aid0541,2012-01-01,832.0,833.8,1743.9,"(833.8,1743.9)",1320.266226,139.1653448,19366.9931983,1395.625,1471.4,1367.55,1165.3,1303.05
MOD16A3GF_006_ET_500m_doy2013001_aid0541,ET_500m,aid0541,2013-01-01,832.0,867.2,1706.1,"(867.2,1706.1)",1256.399399,110.7790187,12271.9909732,1315.7,1411.8,1280.6,1111.7,1232.2
MOD16A3GF_006_ET_500m_doy2014001_aid0541,ET_500m,aid0541,2014-01-01,832.0,797.5,1880.5,"(797.5,1880.5)",1374.9600962,158.5161108,25127.3573981,1459.225,1526.1,1428.9,1205.7,1357.7
MOD16A3GF_006_ET_500m_doy2015001_aid0541,ET_500m,aid0541,2015-01-01,832.0,829.9,1794.9,"(829.9,1794.9)",1286.1977163,125.4827575,15745.9224347,1350.025,1432.6,1318.65,1148.8,1267.075
MOD16A3GF_006_ET_500m_doy2010001_aid0542,ET_500m,aid0542,2010-01-01,24.0,789.3,1163.3,"(789.3,1163.3)",977.3,109.190907,11922.6541667,1066.85,1163.3,959.25,789.3,887.925
MOD16A3GF_006_ET_500m_doy2011001_aid0542,ET_500m,aid0542,2011-01-01,24.0,697.9,1195.3,"(697.9,1195.3)",935.3916667,136.8150391,18718.3549306,1010.225,1195.3,913.9,697.9,834.95
MOD16A3GF_006_ET_500m_doy2012001_aid0542,ET_500m,aid0542,2012-01-01,24.0,638.0,1235.3,"(638.0,1235.3)",896.2458333,161.3864487,26045.585816,1000.375,1235.3,828.2,638.0,777.075
MOD16A3GF_006_ET_500m_doy2013001_aid0542,ET_500m,aid0542,2013-01-01,24.0,744.0,1243.7,"(744.0,1243.7)",976.4125,140.3652863,19702.4135938,1104.6,1243.7,929.05,744.0,865.9
MOD16A3GF_006_ET_500m_doy2014001_aid0542,ET_500m,aid0542,2014-01-01,24.0,589.9,1222.4,"(589.9,1222.4)",862.3666667,168.4583298,28378.2088889,983.875,1222.4,797.55,589.9,733.575
MOD16A3GF_006_ET_500m_doy2015001_aid0542,ET_500m,aid0542,2015-01-01,24.0,698.8,1223.6,"(698.8,1223.6)",966.1958333,143.1125445,20481.2003993,1078.625,1223.6,937.35,698.8,855.9
MOD16A3GF_006_ET_500m_doy2010001_aid0543,ET_500m,aid0543,2010-01-01,260.0,712.0,1519.0,"(712.0,1519.0)",1080.6388462,164.5026259,27061.1139141,1230.425,1519.0,1097.1,712.0,966.025
MOD16A3GF_006_ET_500m_doy2011001_aid0543,ET_500m,aid0543,2011-01-01,260.0,754.8,1557.9,"(754.8,1557.9)",1098.9453846,167.1222278,27929.8390172,1254.525,1557.9,1109.65,754.8,970.4
