File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A3GF_006_ET_500m_doy2015001_aid0001,ET_500m,aid0001,2015-01-01,3102.0,596.3,1863.1,"(596.3,1863.1)",985.7883623,206.0952125,42475.2366247,1074.675,1423.1,931.35,596.3,841.825
MOD16A3GF_006_ET_500m_doy2016001_aid0001,ET_500m,aid0001,2016-01-01,3102.0,563.0,2063.4,"(563.0,2063.4)",887.1779819,228.8589929,52376.4386287,945.6,1243.9,813.35,563.0,746.4
MOD16A3GF_006_ET_500m_doy2017001_aid0001,ET_500m,aid0001,2017-01-01,3102.0,531.1,2001.6,"(531.1,2001.6)",896.1857189,218.5552572,47766.4004376,991.475,1359.4,832.25,531.1,744.725
MOD16A3GF_006_ET_500m_doy2018001_aid0001,ET_500m,aid0001,2018-01-01,3102.0,618.3,1894.5,"(618.3,1894.5)",921.5896196,211.3312873,44660.9130064,998.2,1325.6,859.3,618.3,779.925
MOD16A3GF_006_ET_500m_doy2019001_aid0001,ET_500m,aid0001,2019-01-01,3102.0,528.6,1714.6,"(528.6,1714.6)",856.7173436,196.5509615,38632.2804664,945.1,1279.6,806.8,528.6,719.4
MOD16A3GF_006_ET_500m_doy2020001_aid0001,ET_500m,aid0001,2020-01-01,3102.0,426.4,1849.3,"(426.4,1849.3)",863.1872663,237.3580533,56338.8454504,984.6,1422.5,796.4,426.4,692.525
MOD16A3GF_006_ET_500m_doy2015001_aid0002,ET_500m,aid0002,2015-01-01,2733.0,597.1,1887.2,"(597.1,1887.2)",921.0235638,191.9691296,36852.1467115,948.7,1157.2,866.1,653.9,809.7
MOD16A3GF_006_ET_500m_doy2016001_aid0002,ET_500m,aid0002,2016-01-01,2733.0,569.4,2027.2,"(569.4,2027.2)",837.9204537,226.2000623,51166.4681693,845.9,1037.3,765.1,569.4,718.1
MOD16A3GF_006_ET_500m_doy2017001_aid0002,ET_500m,aid0002,2017-01-01,2733.0,495.8,1945.1,"(495.8,1945.1)",830.3540066,211.6793814,44808.1605081,850.2,1058.2,766.1,504.7,711.5
MOD16A3GF_006_ET_500m_doy2018001_aid0002,ET_500m,aid0002,2018-01-01,2733.0,615.2,1919.1,"(615.2,1919.1)",866.6182949,208.4781339,43463.1322961,891.2,1105.6,802.6,615.2,744.8
MOD16A3GF_006_ET_500m_doy2019001_aid0002,ET_500m,aid0002,2019-01-01,2733.0,499.6,1835.8,"(499.6,1835.8)",819.4883278,208.4055227,43432.8618725,849.5,1071.0,756.2,499.6,701.2
MOD16A3GF_006_ET_500m_doy2020001_aid0002,ET_500m,aid0002,2020-01-01,2733.0,477.8,2035.6,"(477.8,2035.6)",814.9148921,237.2120176,56269.5412821,850.1,1101.1,750.4,477.8,682.4
MOD16A3GF_006_ET_500m_doy2015001_aid0003,ET_500m,aid0003,2015-01-01,7624.0,534.4,2044.8,"(534.4,2044.8)",1042.2315058,303.0759207,91855.0137031,1373.075,2044.8,907.0,534.4,811.0
MOD16A3GF_006_ET_500m_doy2016001_aid0003,ET_500m,aid0003,2016-01-01,7624.0,515.2,2055.8,"(515.2,2055.8)",996.1626705,354.7160493,125823.4756028,1417.2,2055.8,812.55,515.2,735.575
MOD16A3GF_006_ET_500m_doy2017001_aid0003,ET_500m,aid0003,2017-01-01,7624.0,560.9,2132.0,"(560.9,2132.0)",1015.5949895,341.4652495,116598.5166381,1360.85,2132.0,848.55,560.9,760.9
MOD16A3GF_006_ET_500m_doy2018001_aid0003,ET_500m,aid0003,2018-01-01,7624.0,585.5,2031.1,"(585.5,2031.1)",1014.281532,320.0238499,102415.2644884,1364.825,2031.1,859.5,585.5,775.8
MOD16A3GF_006_ET_500m_doy2019001_aid0003,ET_500m,aid0003,2019-01-01,7624.0,484.8,2124.2,"(484.8,2124.2)",981.339861,359.6565088,129352.8043463,1298.925,2124.2,807.6,484.8,721.2
MOD16A3GF_006_ET_500m_doy2020001_aid0003,ET_500m,aid0003,2020-01-01,7624.0,423.3,2181.5,"(423.3,2181.5)",998.7703437,414.851662,172101.9014382,1400.175,2181.5,801.8,423.3,694.975
MOD16A3GF_006_ET_500m_doy2015001_aid0004,ET_500m,aid0004,2015-01-01,5427.0,0.0,1897.7,"(0.0,1897.7)",911.7133223,166.8076699,27824.7987372,959.75,1173.9,872.5,602.1,816.1
MOD16A3GF_006_ET_500m_doy2016001_aid0004,ET_500m,aid0004,2016-01-01,5427.0,0.0,2115.5,"(0.0,2115.5)",859.1157914,175.1764505,30686.7888146,893.2,1090.8,813.4,568.2,761.35
MOD16A3GF_006_ET_500m_doy2017001_aid0004,ET_500m,aid0004,2017-01-01,5427.0,0.0,1946.7,"(0.0,1946.7)",860.9340151,167.7573314,28142.5222297,902.75,1104.4,819.6,565.3,767.2
MOD16A3GF_006_ET_500m_doy2018001_aid0004,ET_500m,aid0004,2018-01-01,5427.0,0.0,1969.6,"(0.0,1969.6)",882.9517413,161.8776539,26204.3748316,912.8,1090.3,844.3,622.9,794.45
MOD16A3GF_006_ET_500m_doy2019001_aid0004,ET_500m,aid0004,2019-01-01,5427.0,0.0,1632.7,"(0.0,1632.7)",768.6017321,160.4888946,25756.685278,809.75,1003.9,733.9,485.6,679.85
MOD16A3GF_006_ET_500m_doy2020001_aid0004,ET_500m,aid0004,2020-01-01,5427.0,0.0,1808.6,"(0.0,1808.6)",755.597236,182.6295592,33353.5558796,810.3,1052.9,716.3,408.0,647.95
MOD16A3GF_006_ET_500m_doy2015001_aid0005,ET_500m,aid0005,2015-01-01,4863.0,602.5,1897.7,"(602.5,1897.7)",901.3105079,160.5195721,25766.5330276,941.3,1138.4,869.3,615.1,809.4
MOD16A3GF_006_ET_500m_doy2016001_aid0005,ET_500m,aid0005,2016-01-01,4863.0,641.3,2058.8,"(641.3,2058.8)",874.8688464,169.3837474,28690.8538824,904.6,1089.7,834.7,641.3,780.65
MOD16A3GF_006_ET_500m_doy2017001_aid0005,ET_500m,aid0005,2017-01-01,4863.0,552.1,1864.4,"(552.1,1864.4)",862.240181,159.3413378,25389.6619265,897.5,1087.6,823.2,579.3,769.9
MOD16A3GF_006_ET_500m_doy2018001_aid0005,ET_500m,aid0005,2018-01-01,4863.0,682.3,1914.2,"(682.3,1914.2)",902.2438824,151.8291071,23052.0777741,933.45,1110.8,864.9,682.3,814.5
MOD16A3GF_006_ET_500m_doy2019001_aid0005,ET_500m,aid0005,2019-01-01,4863.0,528.2,1621.7,"(528.2,1621.7)",785.6458153,147.0831992,21633.4675,833.65,1044.9,753.8,528.2,692.75
MOD16A3GF_006_ET_500m_doy2020001_aid0005,ET_500m,aid0005,2020-01-01,4863.0,447.1,1827.7,"(447.1,1827.7)",732.0505244,176.4845824,31146.8078339,781.65,1015.5,691.2,447.1,625.65
MOD16A3GF_006_ET_500m_doy2015001_aid0006,ET_500m,aid0006,2015-01-01,6448.0,571.9,2010.7,"(571.9,2010.7)",897.8816067,127.3331132,16213.7217274,944.225,1128.9,879.3,633.8,819.85
MOD16A3GF_006_ET_500m_doy2016001_aid0006,ET_500m,aid0006,2016-01-01,6448.0,613.7,1910.0,"(613.7,1910.0)",842.4774504,123.8106766,15329.0836323,874.7,1030.7,817.6,613.7,769.975
MOD16A3GF_006_ET_500m_doy2017001_aid0006,ET_500m,aid0006,2017-01-01,6448.0,621.9,2016.2,"(621.9,2016.2)",850.15991,130.0187405,16904.8728919,894.7,1085.7,819.8,621.9,766.3
MOD16A3GF_006_ET_500m_doy2018001_aid0006,ET_500m,aid0006,2018-01-01,6448.0,643.4,1956.5,"(643.4,1956.5)",888.594603,125.5794697,15770.2032091,930.4,1108.6,862.7,643.4,811.4
