File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A3GF_006_ET_500m_doy2003001_aid0001,ET_500m,aid0001,2003-01-01,1827,238.0,1611.2,"(238.0,1611.2)",1051.9955118,393.4520794,154804.5387866,1507.9,1611.2,944.8,238.0,682.35
MOD16A3GF_006_ET_500m_doy2004001_aid0001,ET_500m,aid0001,2004-01-01,1827,343.6,1622.7,"(343.6,1622.7)",1055.0571429,391.2376601,153066.9067183,1503.3,1622.7,935.7,343.6,686.4
MOD16A3GF_006_ET_500m_doy2005001_aid0001,ET_500m,aid0001,2005-01-01,1827,330.4,1596.5,"(330.4,1596.5)",1063.1976464,377.0872003,142194.7565954,1498.3,1596.5,949.0,330.4,711.5
MOD16A3GF_006_ET_500m_doy2006001_aid0001,ET_500m,aid0001,2006-01-01,1827,214.7,1575.1,"(214.7,1575.1)",1006.5019704,409.5720065,167749.22848,1491.5,1575.1,875.0,214.7,624.15
MOD16A3GF_006_ET_500m_doy2007001_aid0001,ET_500m,aid0001,2007-01-01,1827,287.8,1559.1,"(287.8,1559.1)",1047.7004926,359.7217655,129399.7485876,1460.4,1559.1,970.3,287.8,706.3
MOD16A3GF_006_ET_500m_doy2008001_aid0001,ET_500m,aid0001,2008-01-01,1827,278.4,1628.6,"(278.4,1628.6)",1084.5522715,373.4427573,139459.492982,1519.2,1628.6,975.6,278.4,739.35
MOD16A3GF_006_ET_500m_doy2009001_aid0001,ET_500m,aid0001,2009-01-01,1827,504.6,1553.4,"(504.6,1553.4)",1082.9488779,310.6124807,96480.1131501,1429.25,1553.4,1017.6,504.6,785.0
MOD16A3GF_006_ET_500m_doy2003001_aid0002,ET_500m,aid0002,2003-01-01,1233,0.0,1562.5,"(0.0,1562.5)",741.9815085,178.8017917,31970.0807124,751.7,905.1,690.8,496.2,646.6
MOD16A3GF_006_ET_500m_doy2004001_aid0002,ET_500m,aid0002,2004-01-01,1233,0.0,1606.5,"(0.0,1606.5)",744.5155718,170.4749333,29061.7028719,750.3,885.0,700.1,529.3,660.0
MOD16A3GF_006_ET_500m_doy2005001_aid0002,ET_500m,aid0002,2005-01-01,1233,0.0,1544.9,"(0.0,1544.9)",764.0574209,170.3162632,29007.6295171,771.6,915.8,719.3,549.2,675.2
MOD16A3GF_006_ET_500m_doy2006001_aid0002,ET_500m,aid0002,2006-01-01,1233,0.0,1617.5,"(0.0,1617.5)",677.7596107,183.4958284,33670.7190337,698.7,868.2,626.9,423.3,584.5
MOD16A3GF_006_ET_500m_doy2007001_aid0002,ET_500m,aid0002,2007-01-01,1233,0.0,1533.8,"(0.0,1533.8)",762.0163017,164.6684054,27115.6837489,778.0,924.8,720.5,522.7,675.7
MOD16A3GF_006_ET_500m_doy2008001_aid0002,ET_500m,aid0002,2008-01-01,1233,0.0,1678.3,"(0.0,1678.3)",763.8318735,173.4190607,30074.1706224,784.9,947.3,726.3,513.7,676.3
MOD16A3GF_006_ET_500m_doy2009001_aid0002,ET_500m,aid0002,2009-01-01,1233,0.0,1498.5,"(0.0,1498.5)",815.6273317,159.8527148,25552.8904209,814.0,937.2,768.4,610.0,730.7
MOD16A3GF_006_ET_500m_doy2003001_aid0003,ET_500m,aid0003,2003-01-01,902,422.2,1405.5,"(422.2,1405.5)",692.3890244,131.0891408,17184.3628396,706.675,825.7,659.0,509.4,624.95
MOD16A3GF_006_ET_500m_doy2004001_aid0003,ET_500m,aid0003,2004-01-01,902,434.5,1476.9,"(434.5,1476.9)",676.8559867,140.7536585,19811.5923755,691.45,826.9,637.7,474.5,598.525
MOD16A3GF_006_ET_500m_doy2005001_aid0003,ET_500m,aid0003,2005-01-01,902,440.8,1447.5,"(440.8,1447.5)",692.0888027,125.6635071,15791.3170254,706.2,821.6,660.95,521.6,625.125
MOD16A3GF_006_ET_500m_doy2006001_aid0003,ET_500m,aid0003,2006-01-01,902,346.6,1452.9,"(346.6,1452.9)",651.5252772,146.1753806,21367.2418888,679.3,826.6,625.1,434.4,578.575
MOD16A3GF_006_ET_500m_doy2007001_aid0003,ET_500m,aid0003,2007-01-01,902,432.9,1420.4,"(432.9,1420.4)",702.4833703,135.4644233,18350.6099674,727.15,865.6,670.1,489.2,631.75
MOD16A3GF_006_ET_500m_doy2008001_aid0003,ET_500m,aid0003,2008-01-01,902,466.5,1475.1,"(466.5,1475.1)",743.8813747,150.1271741,22538.1684114,778.35,950.7,707.2,491.3,661.45
MOD16A3GF_006_ET_500m_doy2009001_aid0003,ET_500m,aid0003,2009-01-01,902,598.6,1423.1,"(598.6,1423.1)",818.2001109,124.2823171,15446.0943348,846.575,997.9,788.0,598.6,745.225
MOD16A3GF_006_ET_500m_doy2003001_aid0004,ET_500m,aid0004,2003-01-01,2786,0.0,1584.5,"(0.0,1584.5)",786.5673726,211.1310728,44576.3299154,913.05,1304.9,695.3,444.3,651.5
MOD16A3GF_006_ET_500m_doy2004001_aid0004,ET_500m,aid0004,2004-01-01,2786,0.0,1594.7,"(0.0,1594.7)",787.9577889,212.5248571,45166.8148658,903.5,1279.8,700.1,496.0,651.775
MOD16A3GF_006_ET_500m_doy2005001_aid0004,ET_500m,aid0004,2005-01-01,2786,0.0,1546.7,"(0.0,1546.7)",788.8925341,206.5920166,42680.2613298,903.975,1266.5,703.2,466.6,657.6
MOD16A3GF_006_ET_500m_doy2006001_aid0004,ET_500m,aid0004,2006-01-01,2786,0.0,1587.5,"(0.0,1587.5)",740.7517947,233.8564048,54688.8180818,863.625,1264.8,640.45,362.3,592.725
MOD16A3GF_006_ET_500m_doy2007001_aid0004,ET_500m,aid0004,2007-01-01,2786,0.0,1517.0,"(0.0,1517.0)",793.0261307,208.174535,43336.6370056,919.75,1313.6,702.95,468.9,655.175
MOD16A3GF_006_ET_500m_doy2008001_aid0004,ET_500m,aid0004,2008-01-01,2786,0.0,1589.2,"(0.0,1589.2)",843.1291098,220.7426577,48727.3209222,987.35,1414.8,749.5,452.4,701.3
MOD16A3GF_006_ET_500m_doy2009001_aid0004,ET_500m,aid0004,2009-01-01,2786,498.7,1497.3,"(498.7,1497.3)",876.184781,189.1497429,35777.6252458,1010.025,1405.2,787.5,498.7,746.5
MOD16A3GF_006_ET_500m_doy2003001_aid0005,ET_500m,aid0005,2003-01-01,1605,447.5,1545.4,"(447.5,1545.4)",826.9956386,196.9314021,38781.9771399,1020.7,1531.6,724.3,447.5,672.2
MOD16A3GF_006_ET_500m_doy2004001_aid0005,ET_500m,aid0005,2004-01-01,1605,448.9,1480.2,"(448.9,1480.2)",779.7627414,196.1195953,38462.895671,971.5,1480.2,676.7,448.9,623.7
MOD16A3GF_006_ET_500m_doy2005001_aid0005,ET_500m,aid0005,2005-01-01,1605,455.6,1548.8,"(455.6,1548.8)",817.3725234,193.7340478,37532.8812949,1010.2,1521.6,721.0,455.6,664.1
