File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A3GF_006_ET_500m_doy2021001_aid0001,ET_500m,aid0001,2021-01-01,1827,402.6,1587.5,"(402.6,1587.5)",1100.9479475,338.1396607,114338.4301258,1469.05,1587.5,1068.1,402.6,770.5
MOD16A3GF_006_ET_500m_doy2021001_aid0002,ET_500m,aid0002,2021-01-01,1233,0.0,1696.1,"(0.0,1696.1)",833.3248175,183.7992414,33782.1611359,848.5,1020.1,783.0,561.4,733.0
MOD16A3GF_006_ET_500m_doy2021001_aid0003,ET_500m,aid0003,2021-01-01,902,474.7,1443.0,"(474.7,1443.0)",775.6322616,149.0181613,22206.4124071,804.6,980.3,738.25,541.8,686.65
MOD16A3GF_006_ET_500m_doy2021001_aid0004,ET_500m,aid0004,2021-01-01,2786,427.6,1893.5,"(427.6,1893.5)",873.9159009,200.0378767,40015.1521197,1015.5,1434.8,795.35,427.6,734.8
MOD16A3GF_006_ET_500m_doy2021001_aid0005,ET_500m,aid0005,2021-01-01,1605,428.9,1513.3,"(428.9,1513.3)",863.8056075,207.3379319,42989.0179872,1054.2,1513.3,761.8,428.9,701.9
MOD16A3GF_006_ET_500m_doy2021001_aid0006,ET_500m,aid0006,2021-01-01,4084,442.5,1573.0,"(442.5,1573.0)",902.0435602,258.2928744,66715.2089864,959.65,1299.2,802.5,442.5,732.775
MOD16A3GF_006_ET_500m_doy2021001_aid0007,ET_500m,aid0007,2021-01-01,2415,470.7,1483.8,"(470.7,1483.8)",775.554617,132.3676243,17521.1879694,804.4,960.3,748.2,546.8,700.0
MOD16A3GF_006_ET_500m_doy2021001_aid0008,ET_500m,aid0008,2021-01-01,3689,477.6,1527.9,"(477.6,1527.9)",851.6262402,176.3866947,31112.2660558,996.0,1396.1,777.8,477.6,727.1
MOD16A3GF_006_ET_500m_doy2021001_aid0009,ET_500m,aid0009,2021-01-01,532,482.8,1365.0,"(482.8,1365.0)",817.7659774,149.2536421,22276.6496883,831.45,982.5,773.25,588.7,726.575
MOD16A3GF_006_ET_500m_doy2021001_aid0010,ET_500m,aid0010,2021-01-01,511,462.7,1414.1,"(462.7,1414.1)",797.8553816,141.9437626,20148.031747,818.1,974.1,765.7,566.3,712.2
MOD16A3GF_006_ET_500m_doy2021001_aid0011,ET_500m,aid0011,2021-01-01,1016,427.7,1438.6,"(427.7,1438.6)",818.733563,175.5460658,30816.4212259,946.775,1319.5,750.1,427.7,693.775
MOD16A3GF_006_ET_500m_doy2021001_aid0012,ET_500m,aid0012,2021-01-01,1737,645.7,1930.7,"(645.7,1930.7)",1136.1767991,190.8192633,36411.9912464,1242.6,1588.0,1110.4,671.5,1012.2
MOD16A3GF_006_ET_500m_doy2021001_aid0013,ET_500m,aid0013,2021-01-01,1010,648.0,1737.7,"(648.0,1737.7)",1068.39,164.185627,26956.9201277,1150.8,1400.8,1065.9,729.7,981.425
MOD16A3GF_006_ET_500m_doy2021001_aid0014,ET_500m,aid0014,2021-01-01,1709,525.6,1906.1,"(525.6,1906.1)",843.1165009,178.1285044,31729.7640811,893.0,1135.7,775.5,525.6,731.1
MOD16A3GF_006_ET_500m_doy2021001_aid0015,ET_500m,aid0015,2021-01-01,1320,620.5,1933.1,"(620.5,1933.1)",1118.1070455,221.6023591,49107.6055488,1272.8,1636.0,1108.35,620.5,971.3
MOD16A3GF_006_ET_500m_doy2021001_aid0016,ET_500m,aid0016,2021-01-01,4192,452.3,1537.3,"(452.3,1537.3)",772.6951336,142.0604263,20181.1647187,805.925,976.1,746.3,521.5,692.1
MOD16A3GF_006_ET_500m_doy2021001_aid0017,ET_500m,aid0017,2021-01-01,2925,444.8,1915.5,"(444.8,1915.5)",850.3620855,165.4321863,27367.808248,914.6,1169.9,819.9,503.8,743.7
MOD16A3GF_006_ET_500m_doy2021001_aid0018,ET_500m,aid0018,2021-01-01,2532,617.3,1610.4,"(617.3,1610.4)",1257.9941153,300.9199023,90552.7876233,1500.1,1610.4,1432.8,617.3,984.375
MOD16A3GF_006_ET_500m_doy2021001_aid0019,ET_500m,aid0019,2021-01-01,1157,490.5,1346.8,"(490.5,1346.8)",786.8951599,129.8250654,16854.547617,809.9,963.7,757.9,558.6,706.7
MOD16A3GF_006_ET_500m_doy2021001_aid0020,ET_500m,aid0020,2021-01-01,1710,0.0,1850.1,"(0.0,1850.1)",825.0388304,186.6018884,34820.2647378,904.4,1196.3,783.0,423.5,708.35
MOD16A3GF_006_ET_500m_doy2021001_aid0021,ET_500m,aid0021,2021-01-01,1800,529.8,1918.7,"(529.8,1918.7)",961.1436667,217.6335706,47364.3710488,1106.125,1546.1,876.0,529.8,785.85
MOD16A3GF_006_ET_500m_doy2021001_aid0022,ET_500m,aid0022,2021-01-01,1647,578.4,1573.2,"(578.4,1573.2)",946.9449302,200.4108283,40164.5001185,1093.9,1540.1,874.8,578.4,782.55
MOD16A3GF_006_ET_500m_doy2021001_aid0023,ET_500m,aid0023,2021-01-01,1804,615.4,1681.8,"(615.4,1681.8)",925.2338692,198.1511915,39263.894701,1062.65,1482.7,843.5,615.4,780.775
MOD16A3GF_006_ET_500m_doy2021001_aid0024,ET_500m,aid0024,2021-01-01,6297,439.7,1962.4,"(439.7,1962.4)",847.9855646,169.6140991,28768.9426231,873.2,1058.8,799.1,568.0,749.1
MOD16A3GF_006_ET_500m_doy2021001_aid0025,ET_500m,aid0025,2021-01-01,4366,462.9,1903.3,"(462.9,1903.3)",812.7384563,200.6614173,40265.0044052,887.475,1200.2,753.1,462.9,678.825
MOD16A3GF_006_ET_500m_doy2021001_aid0026,ET_500m,aid0026,2021-01-01,671,604.9,1328.0,"(604.9,1328.0)",861.738301,150.1678146,22550.3725271,972.65,1280.6,800.4,604.9,760.3
MOD16A3GF_006_ET_500m_doy2021001_aid0027,ET_500m,aid0027,2021-01-01,3506,627.8,1943.2,"(627.8,1943.2)",1231.3459213,272.5347948,74275.2143544,1477.95,1943.2,1297.1,627.8,1024.7
MOD16A3GF_006_ET_500m_doy2021001_aid0028,ET_500m,aid0028,2021-01-01,1712,516.2,1800.6,"(516.2,1800.6)",782.992465,142.458308,20294.3695051,841.35,1068.6,752.25,516.2,689.6
