"Data generated on Friday, April 14, 2023 at 1:51:01 PM EST"
Area/Partners of Origin,,,,,January - December
And Consumption  Commodities Imported,,,,,Cumulative To Date Values in Thousands of dollars
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Jan - Feb 2023,,
Partner,HS Code,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Average (Value),Reporter Code,Partner Code,Product Code,
"Brazil","0901220045","COFF RS DEC<2K","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","58","953","244","0","4","9","3","11","32","124","168","16","38","US","BR","0901220045",
"Brazil","0901220060","COFF RST DEC NS","0","0","0","0","0","0","0","0","0","1,784","400","479","326","755","274","473","289","34","58","118","163","212","120","674","260","135","122","164","226","1,768","421","7,038","2,812","98","163","94","48","111","0","15","2","0","3","0","457","US","BR","0901220060",
"Brazil","0901300000","COFFEE HUSK/SKNS","0","0","0","0","0","0","0","0","0","0","0","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","US","BR","0901300000",
"Brazil","0901400000","COFFEE SUBS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","US","BR","0901400000",
"Brazil","0901901000","COFFEE HUSK/SKNS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","0","0","0","0","0","0","0","0","0","27","16","0","0","0","4","7","12","0","2","US","BR","0901901000",
"Brazil","0901902000","COFF SUBS W/COFF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","44","0","0","0","5","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","21","0","13","0","2","US","BR","0901902000",
"Brazil","1601020","COFFEE,CRUDE","865,853","670,380","558,292","559,718","670,749","669,583","519,727","487,045","571,931","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","129,611","US","BR","1601020",
"Brazil","1601040","COFFEE,ROASTD,GR","2,871","2,572","916","4,178","7,140","419","1,465","903","2,700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","539","US","BR","1601040",
"Brazil","1602000","COFFEE,SLBL,INST","185,727","177,891","110,984","109,148","119,930","98,837","88,050","60,837","54,166","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23,385","US","BR","1602000",
"Brazil","1602100","COFFEE EXT,ESSNT","11","7","166","20","1,154","144","55","744","523","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66","US","BR","1602100",
